OTUId,FEB-AS2-1,FEB-AS2-2,FEB-AS2-3,FEB-AS2-4,FEB-GA2-1,FEB-GA2-2,FEB-GA2-3,FEB-GA2-4,FEB-CW2-1,FEB-CW2-2,FEB-CW2-3,FEB-CW2-4,APR-AS2-1,APR-AS2-2,APR-AS2-3,APR-AS2-4,APR-GA2-1,APR-GA2-2,APR-GA2-3,APR-GA2-4,APR-CW2-1,APR-CW2-2,APR-CW2-3,APR-CW2-4,AUG-AS2-1,AUG-AS2-2,AUG-AS2-3,AUG-AS2-4,AUG-GA2-1,AUG-GA2-2,AUG-GA2-3,AUG-GA2-4,AUG-CW2-1,AUG-CW2-2,AUG-CW2-3,AUG-CW2-4,NOV-AS2-1,NOV-AS2-2,NOV-AS2-3,NOV-AS2-4,NOV-GA2-1,NOV-GA2-2,NOV-GA2-3,NOV-GA2-4,NOV-CW2-1,NOV-CW2-2,NOV-CW2-3,NOV-CW2-4,Chimer_ref,Chimera_denovo
A2_D1SF08P1:74:HTGTCBCXX:1:1114:14315:38211;size=2;,3,15,29,2,0,0,0,0,0,0,0,0,1,8,0,13,1,0,0,0,0,0,0,0,9,21,15,17,0,0,0,0,2,0,0,0,9,0,16,31,0,0,0,0,2,0,0,0,CHIMERA_ref,CHIMERA_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:2111:6295:40793;size=4;,1,2,13,1,0,0,0,0,0,0,0,0,5,21,0,11,0,0,0,0,0,0,0,0,16,34,19,12,0,0,0,0,0,0,0,0,4,1,13,41,0,0,0,0,0,0,0,0,CHIMERA_ref,CHIMERA_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:2106:12155:39970;size=6;,0,0,0,0,4,13,1,4,8,3,9,2,4,0,3,1,0,6,0,4,7,9,8,0,0,0,0,0,0,8,12,6,5,5,16,9,0,0,0,0,8,9,2,8,1,10,3,6,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:2109:12836:88816;size=15;,0,0,0,0,0,0,3,0,13,0,3,3,0,0,1,0,11,1,13,3,16,16,6,2,0,0,0,0,21,6,3,8,3,3,17,5,0,0,0,0,7,3,6,5,0,0,15,1,non_chimera_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:1102:12130:97187;size=10;,5,11,6,1,5,1,0,1,1,0,0,0,2,11,0,20,1,3,0,1,0,0,0,0,9,6,12,6,0,1,9,15,15,2,3,1,1,0,7,3,0,4,5,4,14,3,2,3,non_chimera_ref,CHIMERA_denovo
B5_D1SF08P1:74:HTGTCBCXX:1:1112:5787:84128;size=10;,0,0,0,0,4,3,4,5,12,3,11,1,0,0,0,0,6,1,0,4,0,0,4,0,0,0,0,0,1,3,14,23,2,10,13,5,0,0,0,0,9,5,10,31,0,2,4,4,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1112:8933:77618;size=28;,0,0,0,0,2,10,4,9,10,1,1,7,0,0,0,0,4,0,8,3,6,11,0,0,0,0,0,0,1,2,4,16,0,10,25,9,0,0,0,0,7,16,4,1,1,2,1,18,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1204:16405:72981;size=21;,0,1,0,1,0,2,0,0,7,14,34,8,2,0,0,1,0,1,5,2,0,6,5,0,3,0,0,1,5,12,13,9,0,4,4,7,0,0,1,0,5,0,10,24,0,0,5,1,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:2111:7575:96618;size=17;,0,0,0,1,5,1,6,2,15,14,1,14,1,0,0,0,8,9,6,1,0,4,2,0,0,0,0,0,4,4,4,2,4,1,13,4,0,0,0,0,9,6,6,28,2,2,4,10,non_chimera_ref,non_chimera_denovo
B3_D1SF08P1:74:HTGTCBCXX:1:1109:18300:62569;size=19;,0,1,0,0,20,0,1,2,0,0,14,0,4,1,13,21,8,8,0,21,0,0,0,0,1,0,0,0,0,6,0,1,20,14,4,4,0,0,0,1,1,0,1,0,5,6,12,3,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1116:17381:95203;size=10;,0,0,1,0,4,25,4,7,8,3,17,6,0,0,0,0,2,3,3,3,0,2,0,6,0,0,0,0,9,16,7,5,2,0,1,16,0,0,0,0,8,4,11,5,0,2,1,11,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:2110:5147:69670;size=5;,1,0,0,0,2,2,3,15,2,5,22,20,0,1,0,4,4,5,6,5,14,24,2,1,0,0,0,0,0,4,0,1,2,3,9,16,0,0,0,0,5,1,1,5,0,0,2,5,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:2211:3045:44552;size=7;,0,0,1,0,2,5,0,4,4,3,5,2,0,0,0,1,42,0,14,4,0,13,16,1,0,0,0,0,1,1,11,1,0,8,23,12,0,0,0,0,5,0,1,1,0,0,9,2,non_chimera_ref,non_chimera_denovo
B11_D1SF08P1:74:HTGTCBCXX:1:1201:7435:33182;size=14;,0,0,0,0,1,4,0,0,3,6,18,16,0,0,0,0,0,0,0,1,0,0,9,3,0,0,0,0,33,22,18,4,0,0,1,0,0,0,0,0,17,1,21,14,0,0,0,0,non_chimera_ref,non_chimera_denovo
B11_D1SF08P1:74:HTGTCBCXX:1:1208:7180:98898;size=13;,0,0,2,1,5,2,2,2,4,2,14,2,2,1,0,21,0,0,2,3,4,0,6,0,0,3,5,6,1,1,6,24,1,3,1,6,0,1,1,1,13,15,6,14,0,3,3,3,non_chimera_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:2114:12205:17757;size=11;,2,0,2,5,0,0,1,3,1,0,0,1,2,12,9,16,4,2,0,4,0,0,7,9,2,3,28,32,0,0,1,6,12,3,7,1,2,0,3,2,0,2,0,3,2,1,2,0,non_chimera_ref,non_chimera_denovo
B7_D1SF08P1:74:HTGTCBCXX:1:1116:15470:41286;size=15;,0,0,0,0,5,17,2,5,5,5,16,1,0,0,0,0,2,2,3,9,0,2,0,0,0,0,0,0,5,8,9,15,0,10,10,13,0,0,0,0,2,10,4,9,0,2,3,18,non_chimera_ref,non_chimera_denovo
B8_D1SF08P1:74:HTGTCBCXX:1:1216:15651:23124;size=2;,0,0,0,0,2,6,1,2,5,2,1,2,0,1,0,2,5,1,1,5,0,3,1,0,0,1,0,0,2,6,25,24,2,5,11,3,3,0,0,0,11,5,7,25,1,8,3,10,non_chimera_ref,CHIMERA_denovo
C7_D1SF08P1:74:HTGTCBCXX:1:1207:4587:17467;size=4;,0,0,0,0,0,1,1,0,5,6,6,3,0,0,0,0,0,0,1,0,14,5,2,0,0,0,0,0,1,5,23,67,0,1,1,1,0,0,0,0,13,19,3,8,0,0,2,4,non_chimera_ref,non_chimera_denovo
D12_D1SF08P1:74:HTGTCBCXX:1:1102:9220:97554;size=3;,0,0,0,0,7,30,2,9,7,4,0,3,0,0,0,0,12,3,6,9,0,0,3,0,0,0,0,0,1,3,20,3,0,12,8,2,0,0,0,0,2,1,6,11,1,5,5,17,non_chimera_ref,CHIMERA_denovo
A1_D1SF08P1:74:HTGTCBCXX:1:1101:10547:73059;size=2;,30,25,7,2,1,0,0,0,0,0,0,0,7,16,1,32,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,33,0,0,0,3,0,4,0,0,0,0,0,22,1,0,0,CHIMERA_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:1209:7889:6136;size=5;,3,0,13,0,0,0,0,0,0,0,0,0,3,13,0,8,0,0,0,0,0,0,0,0,21,27,21,18,0,0,0,0,0,0,0,0,8,0,12,43,0,0,0,0,1,0,0,0,CHIMERA_ref,CHIMERA_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:2208:6710:35697;size=24;,0,0,0,0,3,39,8,4,4,0,1,1,0,0,0,0,0,0,7,6,0,5,0,0,0,0,0,0,1,0,3,22,0,11,17,27,0,0,0,0,4,6,3,1,0,1,2,15,non_chimera_ref,non_chimera_denovo
B12_D1SF08P1:74:HTGTCBCXX:1:1216:10154:27932;size=18;,0,0,0,0,0,12,0,2,3,5,13,3,0,0,0,0,0,0,1,0,0,3,1,21,0,0,0,0,3,9,11,16,2,1,1,1,0,0,0,0,4,14,6,49,1,1,2,6,non_chimera_ref,non_chimera_denovo
B3_D1SF08P1:74:HTGTCBCXX:1:2105:12150:91420;size=2;,2,0,0,1,0,5,1,2,0,3,2,2,0,8,28,52,21,7,3,5,4,4,3,6,0,0,1,0,0,2,4,1,3,2,8,6,0,0,0,0,0,0,0,0,0,4,1,0,non_chimera_ref,non_chimera_denovo
B7_D1SF08P1:74:HTGTCBCXX:1:2107:9092:85501;size=24;,0,0,0,0,1,29,3,6,0,2,19,4,0,0,0,0,1,0,5,6,17,3,0,3,0,1,4,0,8,18,7,14,0,1,0,17,0,0,0,0,3,1,11,3,0,0,1,3,non_chimera_ref,non_chimera_denovo
C3_D1SF08P1:74:HTGTCBCXX:1:1103:9933:77824;size=11;,1,15,9,11,0,0,0,0,0,0,0,0,0,5,3,4,0,0,1,0,0,0,0,0,12,13,17,27,0,1,1,0,0,0,0,0,10,15,13,32,0,1,0,0,0,0,0,0,non_chimera_ref,non_chimera_denovo
C7_D1SF08P1:74:HTGTCBCXX:1:2108:10473:92259;size=2;,0,0,0,0,1,2,1,2,11,3,0,3,1,0,0,5,2,1,1,5,6,6,3,0,1,2,3,0,1,13,11,26,3,6,12,11,0,0,0,0,5,10,4,11,1,1,5,12,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1108:14848:21036;size=12;,0,0,0,0,0,3,7,7,23,2,16,5,0,0,0,0,0,0,5,3,7,26,13,13,0,0,0,0,3,1,6,14,0,3,9,2,0,0,0,0,4,3,2,2,0,0,6,5,non_chimera_ref,non_chimera_denovo
B11_D1SF08P1:74:HTGTCBCXX:1:2207:17734:17175;size=6;,1,0,0,0,13,21,1,19,0,4,11,1,0,0,1,10,8,4,1,2,0,0,2,0,0,0,6,3,3,2,8,0,3,7,7,12,0,0,0,0,1,0,4,4,1,12,5,13,non_chimera_ref,non_chimera_denovo
B4_D1SF08P1:74:HTGTCBCXX:1:1114:9308:84440;size=12;,13,2,0,7,2,0,0,2,4,10,3,2,1,5,2,15,8,2,0,0,7,14,9,0,4,4,7,2,0,2,5,13,3,3,5,0,6,6,5,0,2,4,1,4,0,2,0,4,non_chimera_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:1107:7006:73548;size=8;,3,1,0,10,2,3,0,6,4,4,6,2,0,13,0,9,2,3,0,0,6,3,5,0,6,5,1,15,0,0,9,0,2,6,7,4,6,13,2,10,4,4,2,5,3,3,0,0,CHIMERA_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:1101:11740:7425;size=20;,10,1,0,1,1,0,0,0,0,0,0,0,1,23,3,41,1,1,0,0,0,0,2,0,19,3,39,11,1,0,0,1,9,0,1,0,0,0,4,1,1,0,0,4,5,5,0,0,non_chimera_ref,non_chimera_denovo
B8_D1SF08P1:74:HTGTCBCXX:1:2108:6301:90682;size=4;,0,0,0,0,1,2,8,1,9,0,2,8,1,2,0,14,3,8,0,5,0,0,15,8,0,0,1,0,6,0,3,2,7,9,14,12,0,0,0,0,10,6,1,14,0,3,9,5,non_chimera_ref,non_chimera_denovo
A12_D1SF08P1:74:HTGTCBCXX:1:2209:6191:31987;size=6;,0,29,45,6,5,12,1,15,0,0,0,1,1,1,1,3,1,0,1,3,0,0,0,0,1,3,0,7,0,0,0,0,16,0,0,9,18,0,4,1,0,0,0,0,0,0,1,3,non_chimera_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:1104:12003:16872;size=29;,12,10,3,2,2,0,1,3,1,1,2,1,3,31,9,19,3,5,0,0,3,0,1,0,6,7,1,10,0,0,1,1,5,0,4,6,3,7,12,3,2,1,0,3,1,2,0,1,non_chimera_ref,non_chimera_denovo
C7_D1SF08P1:74:HTGTCBCXX:1:1206:7475:36188;size=13;,0,0,0,0,0,16,2,5,4,6,5,2,0,0,0,0,0,0,4,1,0,13,1,0,0,0,0,0,3,12,8,58,0,2,2,2,0,0,0,0,15,12,9,5,0,0,1,0,non_chimera_ref,non_chimera_denovo
B3_D1SF08P1:74:HTGTCBCXX:1:2208:7883:81959;size=36;,0,0,0,0,1,0,4,1,6,0,9,9,0,0,10,2,0,0,0,0,49,26,26,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,CHIMERA_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1115:7005:58426;size=15;,16,2,3,1,0,0,0,0,7,0,12,9,6,11,7,27,0,0,0,0,0,29,1,0,2,0,0,0,0,11,2,2,16,0,0,0,0,0,1,0,7,1,2,7,4,1,0,0,non_chimera_ref,CHIMERA_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:2113:13853:74169;size=11;,0,0,0,0,1,0,4,3,9,4,2,4,0,0,0,3,25,2,4,10,10,7,30,0,0,0,0,0,0,0,1,14,1,3,13,13,0,0,0,0,4,0,0,5,0,0,13,2,non_chimera_ref,non_chimera_denovo
B7_D1SF08P1:74:HTGTCBCXX:1:2101:11727:88670;size=14;,0,0,0,0,0,50,5,4,10,3,48,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,11,2,0,0,3,0,22,0,0,0,0,2,0,4,2,0,0,1,4,non_chimera_ref,non_chimera_denovo
B7_D1SF08P1:74:HTGTCBCXX:1:2104:13062:22759;size=17;,4,0,2,0,2,39,0,15,4,1,15,2,0,1,0,0,0,0,3,7,0,1,0,0,0,1,1,0,1,3,19,0,1,6,9,11,2,0,1,2,8,1,2,9,0,1,0,13,non_chimera_ref,non_chimera_denovo
B7_D1SF08P1:74:HTGTCBCXX:1:2203:11441:53395;size=25;,0,0,0,0,1,135,0,0,2,0,13,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,3,0,1,0,0,8,5,3,0,0,0,0,3,0,3,0,0,0,0,2,non_chimera_ref,non_chimera_denovo
C1_D1SF08P1:74:HTGTCBCXX:1:2205:3678:7954;size=2;,5,5,7,7,0,0,0,0,0,0,0,0,8,7,0,19,0,1,0,0,0,0,0,0,14,16,13,25,0,0,0,0,9,0,3,0,11,1,12,15,0,0,0,0,4,3,2,0,non_chimera_ref,CHIMERA_denovo
A1_D1SF08P1:74:HTGTCBCXX:1:1105:13517:50533;size=4;,10,10,6,7,0,0,0,0,0,0,0,0,1,18,0,2,0,0,0,0,0,0,0,0,20,8,11,37,0,0,0,0,0,0,0,0,9,2,21,18,0,0,0,0,6,0,0,0,non_chimera_ref,CHIMERA_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:2203:20753:17698;size=11;,13,15,0,2,14,12,1,4,0,0,3,1,12,2,14,39,9,3,1,4,1,0,0,0,2,0,0,0,0,1,0,0,7,3,2,1,0,1,3,0,2,0,0,0,7,3,0,4,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1202:15653:89070;size=27;,1,0,0,0,1,7,4,4,12,5,26,2,1,0,0,2,3,1,2,2,2,9,6,0,0,0,0,0,2,3,14,16,2,2,10,7,0,0,0,0,2,7,7,17,0,2,1,4,non_chimera_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:1209:6704:12998;size=5;,6,1,0,6,1,1,0,2,7,0,10,1,3,12,6,7,1,0,3,1,11,9,4,0,4,4,1,5,0,6,8,11,1,4,6,6,1,3,2,2,6,10,4,5,1,0,3,1,non_chimera_ref,non_chimera_denovo
B4_D1SF08P1:74:HTGTCBCXX:1:2208:9344:36083;size=9;,9,2,3,12,0,0,0,0,0,1,0,1,1,11,3,8,0,0,0,0,0,0,0,0,15,15,25,28,0,0,0,0,2,0,0,0,18,5,11,13,0,0,0,0,3,0,0,0,non_chimera_ref,non_chimera_denovo
B9_D1SF08P1:74:HTGTCBCXX:1:2108:17800:46539;size=15;,0,0,0,0,0,4,3,1,14,3,16,2,0,0,0,0,10,1,5,3,10,3,3,0,0,0,0,0,0,7,12,18,2,14,11,4,0,0,0,0,5,9,6,7,0,0,9,4,non_chimera_ref,CHIMERA_denovo
C12_D1SF08P1:74:HTGTCBCXX:1:2101:11313:4539;size=2;,2,3,1,0,2,37,5,12,1,3,0,6,4,0,0,0,1,2,3,6,0,0,1,1,0,0,0,1,2,5,6,4,7,4,9,28,2,0,0,0,7,1,5,5,1,1,0,8,non_chimera_ref,non_chimera_denovo
C5_D1SF08P1:74:HTGTCBCXX:1:2203:11335:28393;size=7;,2,2,0,2,2,1,3,9,1,2,0,5,2,7,0,16,11,5,3,3,0,0,5,0,9,3,10,10,1,3,2,6,5,0,19,8,0,0,11,5,2,0,3,1,0,5,2,0,non_chimera_ref,CHIMERA_denovo
B4_D1SF08P1:74:HTGTCBCXX:1:2111:18358:10124;size=7;,0,0,0,0,11,0,1,2,3,11,4,0,2,0,4,19,8,8,0,4,0,0,0,0,1,0,0,0,4,4,2,1,12,4,23,1,0,0,0,0,9,0,0,3,13,21,6,4,CHIMERA_ref,non_chimera_denovo
B8_D1SF08P1:74:HTGTCBCXX:1:1116:8251:8707;size=5;,4,24,8,5,29,0,3,1,1,0,2,0,8,0,18,1,1,4,0,6,0,0,3,0,1,4,5,8,1,0,0,0,13,0,0,4,3,3,2,7,0,0,0,3,6,4,1,2,CHIMERA_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1110:12914:88514;size=7;,1,5,19,2,1,7,7,4,2,3,6,4,0,1,2,7,4,7,1,1,2,10,5,0,1,1,0,4,7,3,1,1,6,11,14,11,1,1,1,4,1,1,0,4,0,3,3,5,non_chimera_ref,CHIMERA_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:1108:7601:49271;size=15;,0,0,0,1,0,0,0,0,0,0,0,0,3,15,3,5,1,0,0,0,0,0,1,0,22,17,9,91,0,0,0,0,0,0,0,0,0,5,8,0,0,0,1,3,0,0,0,0,non_chimera_ref,non_chimera_denovo
B4_D1SF08P1:74:HTGTCBCXX:1:1201:5819:28370;size=12;,5,10,23,5,4,9,1,8,7,2,17,8,1,1,0,2,1,0,4,6,0,2,0,0,1,4,2,0,1,2,10,1,3,2,1,5,1,1,4,4,3,2,5,9,4,1,0,3,non_chimera_ref,non_chimera_denovo
B9_D1SF08P1:74:HTGTCBCXX:1:2103:2411:3861;size=24;,0,0,1,0,0,15,2,0,14,6,6,3,0,0,0,0,0,0,2,1,15,1,1,0,0,0,0,0,2,7,25,22,0,8,6,8,0,0,0,0,8,1,7,15,0,0,5,4,non_chimera_ref,non_chimera_denovo
C1_D1SF08P1:74:HTGTCBCXX:1:1203:10876:51792;size=8;,7,20,2,8,8,2,0,5,1,0,0,0,4,6,0,12,3,1,0,0,0,0,0,0,23,2,2,11,1,0,3,0,5,1,3,0,9,4,14,12,0,0,0,0,3,8,0,5,non_chimera_ref,non_chimera_denovo
C3_D1SF08P1:74:HTGTCBCXX:1:1206:10483:69363;size=6;,13,0,3,4,0,0,0,0,0,0,0,0,5,6,2,22,0,0,0,0,0,0,0,0,11,13,46,20,0,1,0,0,0,0,0,0,9,14,12,4,0,0,0,0,0,0,0,0,non_chimera_ref,non_chimera_denovo
C4_D1SF08P1:74:HTGTCBCXX:1:2213:9682:75014;size=9;,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,6,11,0,0,0,0,0,0,0,0,7,16,4,68,0,0,0,0,0,0,0,0,non_chimera_ref,non_chimera_denovo
B8_D1SF08P1:74:HTGTCBCXX:1:1206:11020:100249;size=2;,1,1,1,3,1,1,0,4,4,4,4,1,0,6,2,1,16,1,2,2,18,2,5,0,5,7,11,15,0,6,5,3,2,4,0,1,4,8,0,11,4,3,4,4,0,4,0,3,CHIMERA_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:2114:18626:30037;size=8;,3,3,0,0,2,1,1,10,2,1,2,0,1,1,0,5,2,2,0,3,1,2,0,0,1,0,4,2,3,5,32,5,13,4,5,2,0,0,21,5,1,4,2,3,10,8,6,6,non_chimera_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:2114:5718:74068;size=25;,6,3,2,26,0,0,0,0,0,0,0,0,1,8,2,2,0,0,0,0,0,0,0,0,20,38,4,1,0,0,0,0,0,0,0,1,4,6,25,35,0,0,0,0,0,0,0,0,non_chimera_ref,non_chimera_denovo
B9_D1SF08P1:74:HTGTCBCXX:1:1215:15740:98669;size=4;,0,0,0,1,0,4,0,6,3,1,3,1,0,2,3,1,12,4,3,4,52,2,17,0,3,1,0,0,13,2,7,2,3,2,7,8,0,0,0,0,5,4,0,2,0,0,5,1,non_chimera_ref,non_chimera_denovo
C6_D1SF08P1:74:HTGTCBCXX:1:2110:18989:94941;size=2;,0,0,0,1,5,15,2,18,0,1,8,8,0,0,0,0,5,3,3,5,0,0,2,0,0,1,0,0,2,9,8,1,2,7,19,18,1,0,0,0,4,0,3,4,0,3,6,20,non_chimera_ref,CHIMERA_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1116:16163:49293;size=7;,0,0,0,0,8,41,5,7,6,1,8,5,0,0,0,0,5,2,1,3,11,3,3,0,0,0,0,0,5,2,4,4,0,5,11,7,0,0,0,0,2,3,0,6,0,0,5,20,non_chimera_ref,non_chimera_denovo
B11_D1SF08P1:74:HTGTCBCXX:1:2204:1339:90986;size=27;,0,0,0,0,0,15,2,11,9,4,19,15,0,0,0,0,2,1,4,8,2,3,3,0,0,0,0,0,1,7,13,0,0,8,7,9,0,0,0,0,5,2,1,13,0,2,8,9,non_chimera_ref,non_chimera_denovo
B8_D1SF08P1:74:HTGTCBCXX:1:2107:17374:34598;size=21;,0,0,0,0,1,11,6,40,5,16,5,1,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,4,3,7,0,0,14,13,20,0,0,0,0,7,0,2,3,0,0,3,9,non_chimera_ref,non_chimera_denovo
C7_D1SF08P1:74:HTGTCBCXX:1:2110:2805:78796;size=17;,0,0,0,0,1,11,6,0,3,0,1,3,0,1,0,2,1,1,1,1,5,3,0,0,0,0,0,0,1,3,6,35,1,1,11,20,0,0,0,0,3,28,1,3,0,0,11,19,non_chimera_ref,non_chimera_denovo
A4_D1SF08P1:74:HTGTCBCXX:1:2207:10108:63545;size=7;,16,4,8,23,0,0,2,0,0,0,0,0,1,15,3,25,0,0,0,0,0,0,0,0,4,4,8,4,0,0,0,0,1,0,0,1,18,12,18,13,0,0,0,1,1,0,0,0,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1101:7453:60158;size=14;,1,0,0,0,0,0,3,2,5,3,1,1,0,0,7,12,3,2,0,2,9,96,12,10,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,2,0,1,4,0,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1201:7524:2145;size=21;,0,0,0,0,0,23,7,6,6,9,36,10,0,0,0,2,0,0,3,6,0,3,2,0,0,0,0,0,10,0,9,2,0,3,4,10,0,0,0,0,8,0,6,8,0,0,2,7,non_chimera_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:2110:18205:90236;size=12;,27,12,51,22,0,0,0,0,1,0,0,0,1,10,0,4,0,0,0,0,0,2,0,0,8,2,0,0,0,0,0,0,1,0,0,1,23,0,16,1,0,0,0,0,0,0,0,0,non_chimera_ref,non_chimera_denovo
B9_D1SF08P1:74:HTGTCBCXX:1:1109:14864:30461;size=18;,0,0,0,0,1,0,0,0,2,2,6,5,0,0,0,0,0,0,0,0,28,1,2,0,0,0,0,0,7,23,31,16,0,0,0,0,0,0,0,0,11,14,13,20,0,0,0,0,non_chimera_ref,CHIMERA_denovo
C12_D1SF08P1:74:HTGTCBCXX:1:2111:13617:13818;size=7;,0,0,0,0,5,45,1,4,4,3,7,6,0,0,0,0,1,0,4,3,0,2,0,0,1,0,0,0,4,9,8,12,0,12,7,8,0,0,0,0,4,5,2,12,0,2,3,8,non_chimera_ref,non_chimera_denovo
C12_D1SF08P1:74:HTGTCBCXX:1:2207:11413:100091;size=5;,2,1,1,0,4,2,1,4,10,6,8,2,4,2,2,3,7,1,4,6,2,1,4,0,7,1,1,2,0,1,8,7,9,8,10,5,0,0,1,0,2,25,2,10,0,1,2,3,non_chimera_ref,non_chimera_denovo
A10_D1SF08P1:74:HTGTCBCXX:1:2102:16102:79547;size=2;,0,0,0,0,0,0,0,0,1,26,3,1,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,8,7,1,7,0,0,0,0,0,0,0,0,8,2,5,105,0,0,0,0,non_chimera_ref,non_chimera_denovo
C10_D1SF08P1:74:HTGTCBCXX:1:2209:11766:70686;size=3;,0,0,0,0,17,29,2,15,3,2,10,4,0,1,1,5,2,7,2,8,0,0,1,0,0,0,1,0,5,0,12,2,5,4,6,1,3,0,0,0,4,4,1,5,1,3,0,15,non_chimera_ref,non_chimera_denovo
C1_D1SF08P1:74:HTGTCBCXX:1:1107:17687:74082;size=14;,3,32,17,7,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,14,21,4,10,0,1,2,3,0,1,0,1,9,4,8,32,1,1,1,0,0,0,1,0,CHIMERA_ref,CHIMERA_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:2105:15145:72928;size=14;,8,8,17,8,0,0,0,0,0,0,0,0,2,28,1,21,1,1,0,0,0,0,0,0,0,8,12,16,0,0,0,0,1,0,0,0,18,10,8,5,0,0,0,0,6,1,0,0,non_chimera_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:2107:8448:99108;size=11;,0,1,0,6,0,0,0,0,11,3,6,8,0,2,3,27,0,0,2,0,1,16,7,0,2,0,0,9,1,0,8,3,3,0,1,2,1,7,0,33,9,0,2,4,0,0,0,2,non_chimera_ref,non_chimera_denovo
B2_D1SF08P1:74:HTGTCBCXX:1:2112:6383:39138;size=2;,7,2,1,1,1,0,0,0,0,0,0,0,2,24,0,47,4,7,0,0,0,0,0,0,14,8,14,5,0,0,1,0,14,0,1,0,6,0,8,4,0,0,0,0,7,2,0,0,non_chimera_ref,non_chimera_denovo
B4_D1SF08P1:74:HTGTCBCXX:1:1209:15169:81133;size=8;,2,1,0,0,6,20,0,2,7,1,6,5,5,1,0,25,0,2,6,0,1,17,15,0,2,0,0,0,3,2,4,2,14,1,2,1,0,0,0,1,4,0,3,1,9,8,0,1,non_chimera_ref,non_chimera_denovo
B8_D1SF08P1:74:HTGTCBCXX:1:1102:14966:49398;size=14;,0,0,0,0,2,6,7,29,2,4,0,1,2,0,0,1,2,1,5,8,1,0,0,0,0,0,1,0,12,0,25,5,0,11,1,39,0,0,0,1,4,0,0,0,0,2,3,5,non_chimera_ref,non_chimera_denovo
C8_D1SF08P1:74:HTGTCBCXX:1:2208:19681:90815;size=15;,0,0,0,0,0,11,0,0,17,7,7,6,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,7,20,6,5,1,0,1,0,0,0,0,8,1,12,55,0,0,1,0,non_chimera_ref,non_chimera_denovo
C3_D1SF08P1:74:HTGTCBCXX:1:1107:16116:20290;size=2;,6,2,0,3,3,0,0,0,0,0,0,0,1,11,4,23,2,3,0,1,0,0,0,0,11,7,17,15,0,0,0,0,18,0,0,0,3,5,7,0,0,0,0,0,29,7,0,1,CHIMERA_ref,non_chimera_denovo
