OTUId,FEB-AS2-1,FEB-AS2-2,FEB-AS2-3,FEB-AS2-4,FEB-GA2-1,FEB-GA2-2,FEB-GA2-3,FEB-GA2-4,FEB-CW2-1,FEB-CW2-2,FEB-CW2-3,FEB-CW2-4,APR-AS2-1,APR-AS2-2,APR-AS2-3,APR-AS2-4,APR-GA2-1,APR-GA2-2,APR-GA2-3,APR-GA2-4,APR-CW2-1,APR-CW2-2,APR-CW2-3,APR-CW2-4,AUG-AS2-1,AUG-AS2-2,AUG-AS2-3,AUG-AS2-4,AUG-GA2-1,AUG-GA2-2,AUG-GA2-3,AUG-GA2-4,AUG-CW2-1,AUG-CW2-2,AUG-CW2-3,AUG-CW2-4,NOV-AS2-1,NOV-AS2-2,NOV-AS2-3,NOV-AS2-4,NOV-GA2-1,NOV-GA2-2,NOV-GA2-3,NOV-GA2-4,NOV-CW2-1,NOV-CW2-2,NOV-CW2-3,NOV-CW2-4,Chimer_ref,Chimera_denovo
A6_D1SF08P1:74:HTGTCBCXX:1:1202:9279:9225;size=2;,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,CHIMERA_ref,CHIMERA_denovo
A8_D1SF08P1:74:HTGTCBCXX:1:2106:7873:57750;size=2;,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,1,0,1,CHIMERA_ref,CHIMERA_denovo
A9_D1SF08P1:74:HTGTCBCXX:1:2209:16955:64035;size=2;,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,CHIMERA_ref,CHIMERA_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1116:14843:67550;size=2;,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,CHIMERA_ref,CHIMERA_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1202:11754:35793;size=2;,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CHIMERA_ref,non_chimera_denovo
B11_D1SF08P1:74:HTGTCBCXX:1:1208:7308:9044;size=2;,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,CHIMERA_ref,non_chimera_denovo
B3_D1SF08P1:74:HTGTCBCXX:1:1210:4591:85688;size=2;,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,CHIMERA_ref,non_chimera_denovo
B4_D1SF08P1:74:HTGTCBCXX:1:2102:11765:25825;size=2;,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHIMERA_ref,non_chimera_denovo
B6_D1SF08P1:74:HTGTCBCXX:1:2110:6409:57162;size=2;,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CHIMERA_ref,CHIMERA_denovo
C1_D1SF08P1:74:HTGTCBCXX:1:1111:20052:28661;size=2;,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,CHIMERA_ref,CHIMERA_denovo
C1_D1SF08P1:74:HTGTCBCXX:1:1204:11828:80232;size=2;,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CHIMERA_ref,CHIMERA_denovo
